journal,doi,title,authors,year,issns,supporting_cites,contrasting_cites,mentioning_cites,total_cites,scite_report_link
monist,10.5840/monist18977231,The Logic of Relatives,"[{'author_name': 'Charles S. Peirce', 'author_slug': 'charles-s-peirce-rLQGRQ', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1897,['0026-9662'],0,0,36,36,https://scite.ai/reports/the-logic-of-relatives-95jKKk
monist,10.5840/monist18966215,On the Part Played by Accident in Invention and Discovery,"[{'author_name': 'Ernst Mach', 'author_slug': 'ernst-mach-1nZbbM', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1896,['0026-9662'],2,0,18,20,https://scite.ai/reports/on-the-part-played-by-dnzL0y
monist,10.5840/monist1898915,On the Foundations of Geometry,"[{'author_name': 'Henri Poincaré', 'author_slug': 'henri-poincare-RMgMA4', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1898,['0026-9662'],0,0,14,14,https://scite.ai/reports/on-the-foundations-of-geometry-kAGLnX
monist,10.1093/monist/9.1.1,On the Foundations of Geometry.,"[{'author_name': 'Henri Poincaré', 'author_slug': 'henri-poincare-RMgMA4', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1898,"['0026-9662', '2153-3601']",0,0,11,12,https://scite.ai/reports/on-the-foundations-of-geometry-n9VR8n
monist,10.5840/monist18922434,The Law of Mind,"[{'author_name': 'Charles S. Peirce', 'author_slug': 'charles-s-peirce-rLQGRQ', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,['0026-9662'],0,0,11,11,https://scite.ai/reports/the-law-of-mind-vQ5je2
monist,10.5840/monist18933235,Evolutionary Love,"[{'author_name': 'Charles S. Peirce', 'author_slug': 'charles-s-peirce-rLQGRQ', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,8,10,https://scite.ai/reports/evolutionary-love-2d4JYx
monist,10.5840/monist18989117,On Pasigraphy. Its Present State and the Pasigraphic Movement in Italy,"[{'author_name': 'Ernst Schröder', 'author_slug': 'ernst-schroder-G9jG26', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1898,['0026-9662'],0,0,9,9,https://scite.ai/reports/on-pasigraphy-its-present-state-dnzLVj
monist,10.5840/monist18922321,The Doctrine of Necessity Examined,"[{'author_name': 'Charles S. Peirce', 'author_slug': 'charles-s-peirce-DORmX5z', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,['0026-9662'],0,0,5,8,https://scite.ai/reports/the-doctrine-of-necessity-examined-lzgLOb
monist,10.5840/monist18933417,Meaning and Metaphor,"[{'author_name': 'Victoria Lady Welby', 'author_slug': 'victoria-lady-welby-3aKXGA', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,7,7,https://scite.ai/reports/meaning-and-metaphor-Wy4d0Q
monist,10.5840/monist18988310,Evolution and Ethics,"[{'author_name': 'John Dewey', 'author_slug': 'john-dewey-ANKeM3', 'author_sequence_number': 1, 'affiliations': ['University of Chicago'], 'affiliation_slugs': ['university-of-chicago-6096']}]",1898,['0026-9662'],0,0,7,7,https://scite.ai/reports/evolution-and-ethics-4yX50P
